"provincia","canton","zona","id_ubicacion"
"El Oro","Balsas","Urbana","Row3391"
"Galapagos","Santa Cruz","Rural","Row3402"
"Santa Elena","La Libertad","Rural","Row3469"
"Cotopaxi","Sigchos","Rural","Row3477"
"Carchi","Espejo","Rural","Row3509"
"Manabi","Bolivar","Rural","Row3646"
"Carchi","Montufar","Rural","Row3709"
"Morona Santiago","Morona","Urbana","Row3726"
"Morona Santiago","Sucua","Urbana","Row3727"
"Chimborazo","Riobamba","Urbana","Row3798"
"Napo","El Chaco","Rural","Row3806"
"Sucumbios","Shushufindi","Rural","Row3808"
"Sucumbios","Putumayo","Rural","Row3809"
"Chimborazo","Guano","Urbana","Row3916"
"Loja","Calvas","Urbana","Row3919"
"Loja","Catamayo","Urbana","Row3926"
"Manabi","Sucre","Urbana","Row4023"
"Cotopaxi","Latacunga","Urbana","Row4031"
"Zamora Chinchipe","Chinchipe","Urbana","Row4035"
"Los Rios","Ventanas","Urbana","Row4287"
"Morona Santiago","Huamboya","Rural","Row4288"
"Pichincha","Ruminahui","Urbana","Row4294"
"Pastaza","Pastaza","Urbana","Row4344"
"Sucumbios","Lago Agrio","Urbana","Row4347"
"Cotopaxi","Pujili","Urbana","Row4348"
"Guayas","Isidro Ayora","Urbana","Row4351"
"Cotopaxi","Pujili","Rural","Row4406"
"Orellana","Orellana","Urbana","Row4558"
"Carchi","Bolivar","Rural","Row4592"
"Napo","Tena","Urbana","Row4606"
"Orellana","La Joya De Los Sachas","Urbana","Row4609"
"Guayas","Santa Lucia","Urbana","Row4619"
"Bolivar","San Miguel","Urbana","Row4664"
"Chimborazo","Pallatanga","Urbana","Row4672"
"Cotopaxi","Salcedo","Urbana","Row4735"
"Guayas","Nobol","Urbana","Row4745"
"Bolivar","Las Naves","Rural","Row4816"
"Canar","Azogues","Urbana","Row4897"
"Manabi","Pedernales","Rural","Row4898"
"Azuay","Gualaceo","Urbana","Row5059"
"Guayas","Coronel Marcelino Mariduena","Rural","Row5062"
"Guayas","Coronel Marcelino Mariduena","Urbana","Row5204"
"Cotopaxi","La Mana","Urbana","Row5319"
"Manabi","24 De Mayo","Rural","Row5419"
"Esmeraldas","Esmeraldas","Urbana","Row5589"
"Chimborazo","Alausi","Urbana","Row5659"
"Morona Santiago","Taisha","Rural","Row5735"
"Manabi","San Vicente","Rural","Row5820"
"Pichincha","Cayambe","Urbana","Row5900"
"Orellana","Loreto","Urbana","Row5904"
"Morona Santiago","Gualaquiza","Urbana","Row6024"
"Tungurahua","Patate","Urbana","Row6119"
"Guayas","Colimes","Urbana","Row6253"
"Cotopaxi","Saquisili","Urbana","Row6382"
"El Oro","Huaquillas","Urbana","Row6386"
"Manabi","El Carmen","Rural","Row6445"
"Tungurahua","Santiago De Pillaro","Urbana","Row6604"
"Azuay","Paute","Urbana","Row6607"
"Chimborazo","Cumanda","Rural","Row6822"
"El Oro","Pasaje","Urbana","Row6847"
"Tungurahua","Quero","Urbana","Row6989"
"Santa Elena","Salinas","Rural","Row7120"
"Carchi","Tulcan","Urbana","Row7215"
"Azuay","Ona","Rural","Row7238"
"Guayas","El Empalme","Urbana","Row7399"
"Manabi","Pichincha","Rural","Row7817"
"Canar","La Troncal","Urbana","Row7973"
"Pichincha","San Miguel De Los Bancos","Rural","Row8186"
"Manabi","Puerto Lopez","Urbana","Row8419"
"Los Rios","Quevedo","Urbana","Row8640"
"Loja","Zapotillo","Rural","Row8753"
"Sucumbios","Shushufindi","Urbana","Row8875"
"Zamora Chinchipe","Zamora","Urbana","Row8877"
"Canar","Canar","Urbana","Row9016"
"Manabi","Pedernales","Urbana","Row9301"
"Manabi","El Carmen","Urbana","Row9360"
"Zamora Chinchipe","Yantzaza","Urbana","Row9453"
"Sucumbios","Putumayo","Urbana","Row9604"
"Pichincha","Puerto Quito","Urbana","Row9651"
"Guayas","Balao","Urbana","Row9714"
"Santo Domingo De Los Tsachilas","La Concordia","Urbana","Row10020"
"Tungurahua","Banos De Agua Santa","Urbana","Row10102"
"Manabi","Pajan","Urbana","Row10878"
"Azuay","Giron","Urbana","Row10996"
"Galapagos","San Cristobal","Urbana","Row11084"
"El Oro","Atahualpa","Rural","Row11148"
"Loja","Macara","Urbana","Row11180"
"Bolivar","Guaranda","Urbana","Row11274"
"Manabi","Santa Ana","Rural","Row11499"
"Los Rios","Vinces","Urbana","Row11659"
"Pichincha","Puerto Quito","Rural","Row11766"
"Manabi","Junin","Urbana","Row11950"
"Pichincha","San Miguel De Los Bancos","Urbana","Row11953"
"El Oro","Portovelo","Urbana","Row12367"
"El Oro","Arenillas","Urbana","Row12771"
"Bolivar","Echeandia","Urbana","Row12901"
"Azuay","El Pan","Rural","Row12920"
"Guayas","Palestina","Urbana","Row12976"
"Los Rios","Montalvo","Urbana","Row13188"
"Carchi","Espejo","Urbana","Row13785"
"Esmeraldas","Quininde","Urbana","Row14267"
"Los Rios","Puebloviejo","Urbana","Row14361"
"Manabi","Jipijapa","Urbana","Row14486"
"Pichincha","Mejia","Urbana","Row14615"
"Pichincha","Pedro Vicente Maldonado","Rural","Row14728"
"El Oro","Las Lajas","Rural","Row15390"
"El Oro","Pinas","Urbana","Row15988"
"Bolivar","Caluma","Rural","Row15997"
"Pastaza","Arajuno","Rural","Row16052"
"Galapagos","San Cristobal","Rural","Row16832"
"El Oro","Santa Rosa","Urbana","Row16932"
"Azuay","Chordeleg","Rural","Row17314"
"Azuay","Pucara","Rural","Row18244"
"El Oro","Zaruma","Urbana","Row18606"
"Cotopaxi","Pangua","Rural","Row18619"
"Tungurahua","San Pedro De Pelileo","Rural","Row18725"
"Morona Santiago","Santiago","Urbana","Row19256"
"Azuay","Sigsig","Urbana","Row19259"
"Bolivar","Las Naves","Urbana","Row20662"
"Manabi","Rocafuerte","Urbana","Row21126"
"Azuay","Sevilla De Oro","Rural","Row21180"
"Azuay","Guachapala","Rural","Row21909"
"Loja","Saraguro","Urbana","Row22235"
"Loja","Pindal","Rural","Row22283"
"Pichincha","Pedro Vicente Maldonado","Urbana","Row22468"
