"provincia","canton","parroquia","poblacion","densidad_poblacional","id_poblacion"
"El Oro","Zaruma","Abanin",1333,18,"Row313"
"El Oro","Zaruma","Arcapamba",970,68,"Row314"
"El Oro","Zaruma","Guanazan",2195,12,"Row315"
"El Oro","Zaruma","Guizhaguina",1832,12,"Row316"
"El Oro","Zaruma","Huertas",2310,49,"Row317"
"El Oro","Zaruma","Malvas",963,94,"Row318"
"El Oro","Zaruma","Muluncay Grande",817,111,"Row319"
"El Oro","Zaruma","Sinsao",1594,35,"Row320"
"El Oro","Zaruma","Salvias",768,8,"Row321"
"El Oro","Las Lajas","La Victoria",3287,30,"Row322"
"El Oro","Las Lajas","La Libertad",871,10,"Row323"
"El Oro","Las Lajas","El Paraiso",880,11,"Row324"
"El Oro","Las Lajas","San Isidro",700,24,"Row325"
"Esmeraldas","Esmeraldas","Esmeraldas",170529,2422,"Row326"
"Esmeraldas","Esmeraldas","Camarones",3949,24,"Row327"
"Esmeraldas","Esmeraldas","Coronel Carlos Concha Torres",2760,10,"Row328"
"Esmeraldas","Esmeraldas","Chinca",5109,23,"Row329"
"Esmeraldas","Esmeraldas","Majua",3368,27,"Row330"
"Esmeraldas","Esmeraldas","San Mateo",7975,44,"Row331"
"Esmeraldas","Esmeraldas","Tabiazo",2789,20,"Row332"
"Esmeraldas","Esmeraldas","Tachina",6439,88,"Row333"
"Esmeraldas","Esmeraldas","Vuelta Larga",8930,115,"Row334"
"Esmeraldas","Eloy Alfaro","Valdez",5848,60,"Row335"
"Esmeraldas","Eloy Alfaro","Anchayacu",3075,14,"Row336"
"Esmeraldas","Eloy Alfaro","Atahualpa",1388,6,"Row337"
"Esmeraldas","Eloy Alfaro","Borbon",9079,45,"Row338"
"Esmeraldas","Eloy Alfaro","La Tola",2949,17,"Row339"
"Esmeraldas","Eloy Alfaro","Luis Vargas Torres",535,1,"Row340"
"Esmeraldas","Eloy Alfaro","Maldonado",2100,36,"Row341"
"Esmeraldas","Eloy Alfaro","Pampanal De Bolivar",1363,12,"Row342"
"Esmeraldas","Eloy Alfaro","San Francisco De Onzole",1838,10,"Row343"
"Esmeraldas","Eloy Alfaro","Santo Domingo De Onzole",3577,5,"Row344"
"Esmeraldas","Eloy Alfaro","Selva Alegre",1466,30,"Row345"
"Esmeraldas","Eloy Alfaro","Telembi",6316,4,"Row346"
"Esmeraldas","Eloy Alfaro","Colon Eloy Del Maria",2200,31,"Row347"
"Esmeraldas","Eloy Alfaro","San Jose De Cayapas",1433,12,"Row348"
"Esmeraldas","Eloy Alfaro","Timbire",1153,53,"Row349"
"Esmeraldas","Eloy Alfaro","Santa Lucia De Las Penas",1985,24,"Row350"
"Esmeraldas","Muisne","Muisne",8788,62,"Row351"
"Esmeraldas","Muisne","Bolivar",2569,51,"Row352"
"Esmeraldas","Muisne","Daule",2842,26,"Row353"
"Esmeraldas","Muisne","Galera",1659,25,"Row354"
"Esmeraldas","Muisne","Quingue",533,19,"Row355"
"Esmeraldas","Muisne","Salima",1439,27,"Row356"
"Esmeraldas","Muisne","San Francisco",5023,26,"Row357"
"Esmeraldas","Muisne","San Gregorio",7864,17,"Row358"
"Esmeraldas","Muisne","San Jose De Chamanga",5709,37,"Row359"
"Esmeraldas","Quininde","Rosa Zarate",55722,55,"Row360"
"Esmeraldas","Quininde","Cube",7872,12,"Row361"
"Esmeraldas","Quininde","Chura",3241,18,"Row362"
"Esmeraldas","Quininde","Malimpia",19870,20,"Row363"
"Esmeraldas","Quininde","Viche",5975,62,"Row364"
"Esmeraldas","Quininde","La Union",34161,52,"Row365"
"Esmeraldas","San Lorenzo","San Lorenzo",32591,131,"Row366"
"Esmeraldas","San Lorenzo","Alto Tambo",1867,2,"Row367"
"Esmeraldas","San Lorenzo","Ancon",1415,24,"Row368"
"Esmeraldas","San Lorenzo","Calderon",1176,37,"Row369"
"Esmeraldas","San Lorenzo","Carondelet",1117,16,"Row370"
"Esmeraldas","San Lorenzo","5 De Junio",247,1,"Row371"
"Esmeraldas","San Lorenzo","Concepcion",1980,9,"Row372"
"Esmeraldas","San Lorenzo","Mataje",1053,3,"Row373"
"Esmeraldas","San Lorenzo","San Javier De Cachavi",786,17,"Row374"
"Esmeraldas","San Lorenzo","Santa Rita",1638,20,"Row375"
"Esmeraldas","San Lorenzo","Tambillo",1369,6,"Row376"
"Esmeraldas","San Lorenzo","Tululbi",2641,8,"Row377"
"Esmeraldas","San Lorenzo","Urbina",511,5,"Row378"
"Esmeraldas","Atacames","Atacames",21868,210,"Row379"
"Esmeraldas","Atacames","La Union",3358,29,"Row380"
"Esmeraldas","Atacames","Sua",4412,61,"Row381"
"Esmeraldas","Atacames","Tonchigue",8300,60,"Row382"
"Esmeraldas","Atacames","Tonsupa",13266,160,"Row383"
"Esmeraldas","Rioverde","Rioverde",7124,97,"Row384"
"Esmeraldas","Rioverde","Chontaduro",4156,19,"Row385"
"Esmeraldas","Rioverde","Chumunde",4508,8,"Row386"
"Esmeraldas","Rioverde","Lagarto",5670,27,"Row387"
"Esmeraldas","Rioverde","Montalvo",5254,17,"Row388"
"Esmeraldas","Rioverde","Rocafuerte",6173,40,"Row389"
"Guayas","Guayaquil","Guayaquil",2665392,1507,"Row390"
"Guayas","Guayaquil","Juan Gomez Rendon",13483,44,"Row391"
"Guayas","Guayaquil","Morro",6502,20,"Row392"
"Guayas","Guayaquil","Posorja",33709,458,"Row393"
"Guayas","Guayaquil","Puna",15275,8,"Row394"
"Guayas","Guayaquil","Tenguel",12042,85,"Row395"
"Guayas","Alfredo Baquerizo Moreno (jujan)","Alfredo Baquerizo Moreno (jujan)",25526,112,"Row396"
"Guayas","Balao","Balao",25655,58,"Row397"
"Guayas","Balzar","Balzar",57829,49,"Row398"
"Guayas","Colimes","Colimes",20339,37,"Row399"
"Guayas","Colimes","San Jacinto",5912,28,"Row400"
"Guayas","Daule","Daule",183399,801,"Row401"
"Guayas","Daule","Juan Bautista Aguirre",9380,126,"Row402"
"Guayas","Daule","Laurel",10558,284,"Row403"
"Guayas","Daule","Limonal",9414,194,"Row404"
"Guayas","Daule","Los Lojas",9695,80,"Row405"
"Guayas","Duran","Eloy Alfaro",303910,889,"Row406"
"Guayas","El Empalme","Velasco Ibarra",50951,344,"Row407"
"Guayas","El Empalme","Guayas",18735,52,"Row408"
"Guayas","El Empalme","El Rosario",10081,73,"Row409"
"Guayas","El Triunfo","El Triunfo",60541,108,"Row410"
"Guayas","Milagro","Milagro",173407,776,"Row411"
"Guayas","Milagro","Chobo",3761,96,"Row412"
"Guayas","Milagro","Mariscal Sucre",6072,110,"Row413"
"Guayas","Milagro","Roberto Astudillo",12703,156,"Row414"
"Guayas","Naranjal","Naranjal",52002,86,"Row415"
"Guayas","Naranjal","Jesus Maria",6622,62,"Row416"
"Guayas","Naranjal","San Carlos",9404,91,"Row417"
"Guayas","Naranjal","Santa Rosa De Flandes",6196,47,"Row418"
"Guayas","Naranjal","Taura",9467,12,"Row419"
"Guayas","Naranjito","Naranjito",44169,191,"Row420"
"Guayas","Palestina","Palestina",18019,97,"Row421"
"Guayas","Pedro Carbo","Pedro Carbo",38405,74,"Row422"
"Guayas","Pedro Carbo","Valle De La Virgen",5751,57,"Row423"
"Guayas","Pedro Carbo","Sabanilla",8021,25,"Row424"
"Guayas","Samborondon","Samborondon",81854,327,"Row425"
"Guayas","Samborondon","Tarifa",16686,179,"Row426"
"Guayas","Santa Lucia","Santa Lucia",43700,120,"Row427"
"Guayas","Salitre","El Salitre",30549,231,"Row428"
"Guayas","Salitre","General Vernaza",10522,124,"Row429"
"Guayas","Salitre","La Victoria",7309,90,"Row430"
"Guayas","Salitre","Junquillal",12680,134,"Row431"
"Guayas","San Jacinto De Yaguachi","San Jacinto De Yaguachi",32914,119,"Row432"
"Guayas","San Jacinto De Yaguachi","General Pedro J. Montero",8461,90,"Row433"
"Guayas","San Jacinto De Yaguachi","Yaguachi Viejo",13140,122,"Row434"
"Guayas","San Jacinto De Yaguachi","Virgen De Fatima",18184,351,"Row435"
"Guayas","Playas","General Villamil",58768,218,"Row436"
"Guayas","Simon Bolivar","Simon Bolivar",16448,124,"Row437"
"Guayas","Simon Bolivar","Coronel Lorenzo De Garaycoa",12979,82,"Row438"
"Guayas","Coronel Marcelino Mariduena","Coronel Marcelino Mariduena",13183,52,"Row439"
"Guayas","Lomas De Sargentillo","Lomas De Sargentillo",22254,310,"Row440"
"Guayas","Nobol","Narcisa De Jesus",23850,177,"Row441"
