provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
CHIMBORAZO,RIOBAMBA,QUIMIAG,4479.0,135.92,33.0
CHIMBORAZO,RIOBAMBA,SAN JUAN,6309.0,221.13,29.0
CHIMBORAZO,RIOBAMBA,SAN LUIS,19510.0,29.86,653.0
CHIMBORAZO,ALAUSI,ALAUSI,10303.0,53.09,194.0
CHIMBORAZO,ALAUSI,ACHUPALLAS,8117.0,580.99,14.0
CHIMBORAZO,ALAUSI,GUASUNTOS,1820.0,46.75,39.0
CHIMBORAZO,ALAUSI,HUIGRA,1748.0,129.55,13.0
CHIMBORAZO,ALAUSI,MULTITUD,1867.0,102.88,18.0
CHIMBORAZO,ALAUSI,PISTISHI,257.0,10.94,23.0
CHIMBORAZO,ALAUSI,PUMALLACTA,588.0,20.64,28.0
CHIMBORAZO,ALAUSI,SEVILLA,630.0,20.84,30.0
CHIMBORAZO,ALAUSI,SIBAMBE,3412.0,142.03,24.0
CHIMBORAZO,ALAUSI,TIXAN,8533.0,180.91,47.0
CHIMBORAZO,COLTA,VILLA LA UNION,14392.0,219.89,65.0
CHIMBORAZO,COLTA,CANI,711.0,110.46,6.0
CHIMBORAZO,COLTA,COLUMBE,9132.0,167.44,55.0
CHIMBORAZO,COLTA,JUAN DE VELASCO,3045.0,266.05,11.0
CHIMBORAZO,COLTA,SANTIAGO DE QUITO,3188.0,55.73,57.0
CHIMBORAZO,CHAMBO,CHAMBO,13431.0,166.19,81.0
CHIMBORAZO,CHUNCHI,CHUNCHI,6828.0,126.9,54.0
CHIMBORAZO,CHUNCHI,CAPZOL,684.0,25.28,27.0
CHIMBORAZO,CHUNCHI,COMPUD,724.0,28.85,25.0
CHIMBORAZO,CHUNCHI,GONZOL,1083.0,24.93,43.0
CHIMBORAZO,CHUNCHI,LLAGOS,1316.0,66.56,20.0
CHIMBORAZO,GUAMOTE,GUAMOTE,19382.0,385.82,50.0
CHIMBORAZO,GUAMOTE,CEBADAS,6414.0,566.55,11.0
CHIMBORAZO,GUAMOTE,PALMIRA,9973.0,241.59,41.0
CHIMBORAZO,GUANO,GUANO,22764.0,93.68,243.0
CHIMBORAZO,GUANO,GUANANDO,224.0,14.8,15.0
CHIMBORAZO,GUANO,ILAPO,1156.0,33.13,35.0
CHIMBORAZO,GUANO,LA PROVIDENCIA,659.0,10.18,65.0
CHIMBORAZO,GUANO,SAN ANDRES,13154.0,163.99,80.0
CHIMBORAZO,GUANO,SAN GERARDO,3281.0,7.12,461.0
CHIMBORAZO,GUANO,SAN ISIDRO DE PATULU,4472.0,77.42,58.0
CHIMBORAZO,GUANO,SAN JOSE DEL CHAZO,872.0,14.54,60.0
CHIMBORAZO,GUANO,SANTA FE DE GALAN,1471.0,29.16,50.0
CHIMBORAZO,GUANO,VALPARAISO,274.0,21.2,13.0
CHIMBORAZO,PALLATANGA,PALLATANGA,11796.0,380.1,31.0
CHIMBORAZO,PENIPE,PENIPE,2400.0,31.6,76.0
CHIMBORAZO,PENIPE,EL ALTAR,1294.0,74.22,17.0
CHIMBORAZO,PENIPE,MATUS,786.0,74.07,11.0
CHIMBORAZO,PENIPE,PUELA,533.0,73.03,7.0
CHIMBORAZO,PENIPE,SAN ANTONIO DE BAYUSHIG,1097.0,3.87,283.0
CHIMBORAZO,PENIPE,LA CANDELARIA,389.0,89.2,4.0
