no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
2845,FEMENINO,VIUDO/A,PEATON,2019-12-24,DESCONOCIDO,2019-12-24,QUEVEDO,LOS RIOS,2020-12-21,2019,12
2851,MASCULINO,CASADO/A,PEATON,2020-05-25,ATROPELLO,2019-04-07,GUAYAQUIL,GUAYAS,2020-12-21,2019,4
2871,MASCULINO,SOLTERO/A,PEATON,2019-12-22,ATROPELLO,2019-12-22,OTAVALO,IMBABURA,2020-12-18,2019,12
2884,MASCULINO,SOLTERO/A,OCUPANTE,2020-01-07,VOLCAMIENTO,2019-12-24,GUAYAQUIL,GUAYAS,2020-12-16,2019,12
2896,MASCULINO,CASADO/A,OCUPANTE,2019-12-15,VOLCAMIENTO,2019-12-15,YAGUACHI,GUAYAS,2020-12-14,2019,12
2906,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-19,VOLCAMIENTO,2019-10-19,PEDRO VICENTE MALDONADO,PICHINCHA,2020-12-11,2019,10
2940,MASCULINO,CASADO/A,PEATON,2019-12-25,ATROPELLO,2019-12-15,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2020-12-09,2019,12
2971,FEMENINO,VIUDO/A,OCUPANTE,2019-12-30,CHOQUE,2019-08-09,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2020-12-03,2019,8
2982,FEMENINO,CASADO/A,PEATON,2019-12-08,ATROPELLO,2019-12-08,AMBATO,TUNGURAHUA,2020-12-02,2019,12
2994,MASCULINO,SOLTERO/A,PEATON,2019-12-08,ATROPELLO,2019-12-08,SAN VICENTE,MANABI,2020-12-01,2019,12
2997,FEMENINO,CASADO/A,OCUPANTE,2019-12-15,CHOQUE,2019-12-15,CAYAMBE,PICHINCHA,2020-12-01,2019,12
2999,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-09,CHOQUE,2019-08-30,EL CARMEN,MANABI,2020-11-30,2019,8
3020,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-13,VOLCAMIENTO,2019-12-13,GIRON,AZUAY,2020-11-30,2019,12
